p,n_complete,alpha_duration,alpha_sigma_duration,ks_duration,LR_vs_exp_duration,LR_pvalue_duration,n_fit_duration,Tmin_duration,alpha_size,alpha_sigma_size,ks_size,LR_vs_exp_size,LR_pvalue_size,n_fit_size,xmin_size,mean_activity_ratio,std_activity_ratio
0.007937,200,,,,,,0,,,,,,,0,,1.000000,0.000000
0.008772,201,,,,,,0,,,,,,,0,,1.000000,0.000000
0.009607,201,3.000000,0.141069,0.063615,-2.647808,0.008102,201,1,3.000000,0.141069,0.063615,-2.647808,0.008102,201,1,1.000000,0.000000
0.010443,203,3.000000,0.140372,0.024695,-0.201761,0.840103,203,1,3.000000,0.140372,0.008713,1.139906,0.254325,203,1,1.018883,0.103241
0.011278,207,3.000000,0.139010,0.025457,-1.171649,0.241338,207,1,3.000000,0.139010,0.015795,0.534168,0.593225,207,1,1.017874,0.104937
0.012114,212,2.684692,0.115705,0.060305,-2.764740,0.005697,212,1,2.645581,0.113019,0.053070,-0.370737,0.710833,212,1,1.014465,0.111547
0.012949,236,2.450977,0.094451,0.027019,1.134490,0.256589,236,1,2.337598,0.087070,0.029922,2.241936,0.024966,236,1,1.057945,0.158874
0.013784,313,2.144751,0.064705,0.047673,0.974934,0.329593,313,1,2.035197,0.058513,0.029118,3.594660,0.000325,313,1,1.109971,0.298001
0.014620,577,1.578761,0.024094,0.036422,13.867822,0.000000,577,1,1.455013,0.018942,0.046354,19.856860,0.000000,577,1,1.987457,1.677886
0.015455,200,2.464526,0.103558,0.057679,-0.740929,0.458736,200,1,2.307568,0.092459,0.035077,1.629994,0.103103,200,1,1.092875,0.291685
0.016291,123,,,,,,0,,2.618774,0.145960,0.029820,-0.603644,0.546080,123,1,1.084011,0.289358
0.017126,82,,,,,,0,,3.000000,0.220863,0.014834,0.131774,0.895163,82,1,1.032520,0.141227
0.017962,56,,,,,,0,,,,,,,0,,1.008929,0.066216
0.018797,36,,,,,,0,,,,,,,0,,1.055556,0.328671
0.019632,20,,,,,,0,,,,,,,0,,1.000000,0.000000
0.020468,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.021303,14,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022139,13,,,,,,0,,,,,,,0,,1.000000,0.000000
0.022974,4,,,,,,0,,,,,,,0,,1.000000,0.000000
0.023810,9,,,,,,0,,,,,,,0,,1.000000,0.000000
0.024645,1,,,,,,0,,,,,,,0,,1.000000,0.000000
0.025480,3,,,,,,0,,,,,,,0,,1.000000,0.000000
0.026316,0,,,,,,0,,,,,,,0,,,
0.027151,0,,,,,,0,,,,,,,0,,,
0.027987,0,,,,,,0,,,,,,,0,,,
